job_role,skills
Data Scientist,Python SQL Machine Learning Statistics Data Analysis
DevOps Engineer,AWS Docker Kubernetes CI/CD Automation Cloud
Backend Developer,Java Python SQL APIs Data Structures Algorithms
Frontend Developer,JavaScript React CSS HTML Web Design UI/UX
Cloud Architect,AWS Cloud Computing Automation Networking Security
AI Engineer,Python Machine Learning Deep Learning TensorFlow Neural Networks
Data Analyst,SQL Excel Data Analysis Statistics Visualization
Mobile Developer,Java Kotlin Swift Mobile Development UI/UX
Cybersecurity Analyst,Networking Security Cloud Automation Python
Full Stack Developer,JavaScript Python SQL React APIs Web Design
